Institution ID,Institution Name,Total Student Count,LRE Students >80%,LRE Students >80% Target,LRE Students <40%,LRE Students <40% Target,LRE Students Separate Settings,LRE Students Separate Settings Target,Elementary School Participation ELA,Elementary School Participation ELA Target,Middle School Participation ELA,Middle School Participation ELA Target,High School Participation ELA,High School Participation ELA Target,Elementary School Meet/Exceed ELA,Elementary School Meet/Exceed ELA Target,Middle School Meet/Exceed ELA,Middle School Meet/Exceed ELA Target,High School Meet/Exceed ELA,High School Meet/Exceed ELA Target,Elementary School Participation Math,Elementary School Participation Math Target,Middle School Participation Math,Middle School Participation Math Target,High School Participation Math,High School Participation Math Target,Elementary School Meet/Exceed Math,Elementary School Meet/Exceed Math Target,Middle School Meet/Exceed Math,Middle School Meet/Exceed Math Target,High School Meet/Exceed Math,High School Meet/Exceed Math Target,Special Education Eligibility,Special Education Eligibility Target,Parent Involvement,Parent Involvement Target,Secondary Transition,Secondary Transition Target,SuspExplFg,SuspExplRaceEthnicityFg,DisPrptnRprsntnFg,DisPrptnRprsntnDsbltyFg,IEP 4Yr Cohort Grad 17-18,IEP 4Yr Cohort Grad 17-18 Target,IEP 5Yr Cohort Grad 17-18,IEP 5Yr Cohort Grad 17-18 Target,IEP Dropout 17-18,IEP Dropout 17-18 Target,Higher Ed,Higher Ed Target,Higher Ed/Employed,Higher Ed/Employed Target,Higher Ed/Training/Employed,Higher Ed/Training/Employed Target
1991,Douglas County SD 4,673,59.58%,73.00% or more,15.75%,10.60% or less,0.00%,1.80% or less,94.82%,95.00%,90.29%,95.00%,>95%,95.00%,24.59%,35.00%,26.58%,35.00%,18.37%,35.00%,>95%,95.00%,88.00%,95.00%,>95%,95.00%,23.37%,32.00%,22.73%,32.00%,10.20%,32.00%,97.46%,100.00%,80.00%,81.23%,*,100.00%,No ,No ,No ,No ,36.71,84.0% or more,45.90%,86.0% or more,8.57%,3.1% or less,10.53%,31.00%,15.79%,55.50%,52.63%,72.00%
2019,Drewsey SD 13,*,*,73.00% or more,*,10.60% or less,*,1.80% or less,*,95.00%,*,95.00%,*,95.00%,*,35.00%,*,35.00%,*,35.00%,*,95.00%,*,95.00%,*,95.00%,*,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2229,Dufur SD 29,36,94.44%,73.00% or more,5.56%,10.60% or less,0.00%,1.80% or less,>95%,95.00%,>95%,95.00%,*,95.00%,50.00%,35.00%,8.33%,35.00%,*,35.00%,>95%,95.00%,>95%,95.00%,*,95.00%,40.00%,32.00%,<5%,32.00%,*,32.00%,100.00%,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,0.00%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2043,Eagle Point SD 9,507,77.91%,73.00% or more,10.65%,10.60% or less,0.59%,1.80% or less,>95%,95.00%,>95%,95.00%,86.67%,95.00%,9.56%,35.00%,11.20%,35.00%,23.08%,35.00%,>95%,95.00%,>95%,95.00%,83.33%,95.00%,7.35%,32.00%,<5%,32.00%,12.00%,32.00%,100.00%,100.00%,75.00%,81.23%,*,100.00%,Yes,No ,No ,No ,46.34,84.0% or more,58.54%,86.0% or more,5.10%,3.1% or less,5.26%,31.00%,31.58%,55.50%,42.11%,72.00%
2203,Echo SD 5,45,100.00%,73.00% or more,0.00%,10.60% or less,0.00%,1.80% or less,>95%,95.00%,>95%,95.00%,*,95.00%,28.57%,35.00%,26.67%,35.00%,*,35.00%,>95%,95.00%,93.33%,95.00%,*,95.00%,21.43%,32.00%,14.29%,32.00%,*,32.00%,100.00%,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,0.00%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2217,Elgin SD 23,48,81.25%,73.00% or more,6.25%,10.60% or less,0.00%,1.80% or less,91.67%,95.00%,>95%,95.00%,*,95.00%,36.36%,35.00%,5.88%,35.00%,*,35.00%,91.67%,95.00%,>95%,95.00%,*,95.00%,18.18%,32.00%,5.88%,32.00%,*,32.00%,100.00%,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,0.00%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
1998,Elkton SD 34,25,100.00%,73.00% or more,0.00%,10.60% or less,0.00%,1.80% or less,*,95.00%,>95%,95.00%,>95%,95.00%,*,35.00%,16.67%,35.00%,16.67%,35.00%,*,95.00%,>95%,95.00%,>95%,95.00%,*,32.00%,<5%,32.00%,<5%,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,44.44%,86.0% or more,0.00%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2221,Enterprise SD 21,63,87.30%,73.00% or more,7.94%,10.60% or less,0.00%,1.80% or less,>95%,95.00%,94.74%,95.00%,>95%,95.00%,30.00%,35.00%,5.56%,35.00%,71.43%,35.00%,>95%,95.00%,94.74%,95.00%,>95%,95.00%,26.32%,32.00%,<5%,32.00%,28.57%,32.00%,100.00%,100.00%,87.50%,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,0.00%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
1930,Estacada SD 108,312,73.72%,73.00% or more,7.69%,10.60% or less,0.64%,1.80% or less,87.84%,95.00%,83.13%,95.00%,87.50%,95.00%,13.85%,35.00%,11.59%,35.00%,23.81%,35.00%,87.84%,95.00%,81.93%,95.00%,83.33%,95.00%,12.31%,32.00%,5.88%,32.00%,5.00%,32.00%,100.00%,100.00%,70.59%,81.23%,*,100.00%,No ,No ,No ,No ,28.89,84.0% or more,48.15%,86.0% or more,6.40%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2082,Eugene SD 4J,2239,64.90%,73.00% or more,7.32%,10.60% or less,4.29%,1.80% or less,87.39%,95.00%,81.20%,95.00%,81.66%,95.00%,27.48%,35.00%,12.68%,35.00%,28.26%,35.00%,85.87%,95.00%,79.65%,95.00%,76.47%,95.00%,23.54%,32.00%,10.71%,32.00%,11.54%,32.00%,99.32%,100.00%,76.72%,81.23%,30.00%,100.00%,No ,No ,No ,No ,45.5,84.0% or more,52.11%,86.0% or more,8.27%,3.1% or less,20.00%,31.00%,40.00%,55.50%,73.75%,72.00%
2193,Falls City SD 57,37,91.89%,73.00% or more,2.70%,10.60% or less,0.00%,1.80% or less,85.71%,95.00%,>95%,95.00%,*,95.00%,<5%,35.00%,<5%,35.00%,*,35.00%,85.71%,95.00%,>95%,95.00%,*,95.00%,<5%,32.00%,<5%,32.00%,*,32.00%,100.00%,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,5.88%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2084,Fern Ridge SD 28J,225,68.89%,73.00% or more,12.89%,10.60% or less,1.78%,1.80% or less,94.67%,95.00%,>95%,95.00%,82.14%,95.00%,28.17%,35.00%,11.76%,35.00%,39.13%,35.00%,94.67%,95.00%,>95%,95.00%,85.71%,95.00%,26.76%,32.00%,5.88%,32.00%,8.33%,32.00%,100.00%,100.00%,83.33%,81.23%,*,100.00%,No ,No ,No ,No ,52.38,84.0% or more,33.33%,86.0% or more,16.13%,3.1% or less,20.00%,31.00%,60.00%,55.50%,60.00%,72.00%
2241,Forest Grove SD 15,893,76.82%,73.00% or more,5.38%,10.60% or less,2.24%,1.80% or less,91.27%,95.00%,>95%,95.00%,94.20%,95.00%,26.32%,35.00%,16.52%,35.00%,21.54%,35.00%,91.27%,95.00%,>95%,95.00%,93.94%,95.00%,24.88%,32.00%,8.30%,32.00%,11.29%,32.00%,97.69%,100.00%,78.87%,81.23%,66.67%,100.00%,Yes,No ,No ,No ,58.46,84.0% or more,68.97%,86.0% or more,5.63%,3.1% or less,31.25%,31.00%,43.75%,55.50%,81.25%,72.00%
2248,Fossil SD 21J,43,97.67%,73.00% or more,0.00%,10.60% or less,0.00%,1.80% or less,>95%,95.00%,92.86%,95.00%,*,95.00%,50.00%,35.00%,61.54%,35.00%,*,35.00%,>95%,95.00%,92.86%,95.00%,*,95.00%,18.75%,32.00%,46.15%,32.00%,*,32.00%,100.00%,100.00%,87.50%,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2020,Frenchglen SD 16,25,100.00%,73.00% or more,0.00%,10.60% or less,0.00%,1.80% or less,53.85%,95.00%,44.44%,95.00%,*,95.00%,42.86%,35.00%,*,35.00%,*,35.00%,53.85%,95.00%,33.33%,95.00%,*,95.00%,28.57%,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2245,Gaston SD 511J,96,95.83%,73.00% or more,3.13%,10.60% or less,0.00%,1.80% or less,>95%,95.00%,85.71%,95.00%,>95%,95.00%,24.00%,35.00%,27.78%,35.00%,44.44%,35.00%,>95%,95.00%,85.71%,95.00%,>95%,95.00%,12.00%,32.00%,16.67%,32.00%,11.11%,32.00%,*,100.00%,87.50%,81.23%,*,100.00%,No ,No ,No ,No ,42.86,84.0% or more,80.00%,86.0% or more,2.63%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2137,Gervais SD 1,171,87.13%,73.00% or more,6.43%,10.60% or less,0.58%,1.80% or less,73.47%,95.00%,79.31%,95.00%,>95%,95.00%,11.43%,35.00%,19.57%,35.00%,29.41%,35.00%,73.47%,95.00%,79.31%,95.00%,>95%,95.00%,16.67%,32.00%,10.87%,32.00%,11.76%,32.00%,95.83%,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,50,84.0% or more,60.00%,86.0% or more,7.46%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
1931,Gladstone SD 115,247,69.64%,73.00% or more,6.88%,10.60% or less,6.88%,1.80% or less,90.14%,95.00%,94.20%,95.00%,94.12%,95.00%,23.44%,35.00%,9.23%,35.00%,12.50%,35.00%,88.73%,95.00%,94.03%,95.00%,82.35%,95.00%,19.05%,32.00%,<5%,32.00%,<5%,32.00%,100.00%,100.00%,91.67%,81.23%,*,100.00%,No ,No ,No ,No ,83.33,84.0% or more,85.00%,86.0% or more,3.37%,3.1% or less,12.50%,31.00%,50.00%,55.50%,62.50%,72.00%
2000,Glendale SD 77,54,77.78%,73.00% or more,11.11%,10.60% or less,0.00%,1.80% or less,91.67%,95.00%,>95%,95.00%,*,95.00%,<5%,35.00%,8.33%,35.00%,*,35.00%,91.67%,95.00%,>95%,95.00%,*,95.00%,9.09%,32.00%,<5%,32.00%,*,32.00%,*,100.00%,83.33%,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,16.67%,86.0% or more,13.64%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
1992,Glide SD 12,91,60.44%,73.00% or more,1.10%,10.60% or less,0.00%,1.80% or less,>95%,95.00%,95.00%,95.00%,>95%,95.00%,12.50%,35.00%,<5%,35.00%,14.29%,35.00%,93.94%,95.00%,95.00%,95.00%,>95%,95.00%,22.58%,32.00%,<5%,32.00%,<5%,32.00%,100.00%,100.00%,77.78%,81.23%,*,100.00%,No ,No ,No ,No ,100,84.0% or more,100.00%,86.0% or more,2.94%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2054,Grants Pass SD 7,726,61.98%,73.00% or more,15.56%,10.60% or less,1.93%,1.80% or less,92.79%,95.00%,94.84%,95.00%,>95%,95.00%,23.30%,35.00%,18.81%,35.00%,34.04%,35.00%,92.79%,95.00%,94.37%,95.00%,93.88%,95.00%,19.42%,32.00%,12.44%,32.00%,15.22%,32.00%,100.00%,100.00%,75.00%,81.23%,*,100.00%,No ,No ,No ,No ,63.41,84.0% or more,60.94%,86.0% or more,4.46%,3.1% or less,22.58%,31.00%,22.58%,55.50%,61.29%,72.00%
2100,Greater Albany Public SD 8J,1198,74.79%,73.00% or more,9.35%,10.60% or less,0.58%,1.80% or less,>95%,95.00%,>95%,95.00%,>95%,95.00%,20.13%,35.00%,8.68%,35.00%,23.86%,35.00%,>95%,95.00%,>95%,95.00%,94.57%,95.00%,15.71%,32.00%,5.43%,32.00%,<5%,32.00%,100.00%,100.00%,81.61%,81.23%,71.43%,100.00%,No ,No ,No ,No ,61.18,84.0% or more,71.13%,86.0% or more,2.84%,3.1% or less,20.97%,31.00%,53.23%,55.50%,75.81%,72.00%
2183,Gresham-Barlow SD 10J,1430,63.29%,73.00% or more,10.28%,10.60% or less,2.80%,1.80% or less,92.45%,95.00%,93.09%,95.00%,91.43%,95.00%,17.23%,35.00%,11.87%,35.00%,14.58%,35.00%,91.67%,95.00%,92.82%,95.00%,94.29%,95.00%,13.35%,32.00%,7.14%,32.00%,<5%,32.00%,97.95%,100.00%,72.90%,81.23%,62.50%,100.00%,Yes,No ,No ,No ,55.74,84.0% or more,60.95%,86.0% or more,4.60%,3.1% or less,40.91%,31.00%,40.91%,55.50%,52.27%,72.00%
2014,Harney County SD 3,101,77.23%,73.00% or more,2.97%,10.60% or less,0.00%,1.80% or less,94.12%,95.00%,>95%,95.00%,91.67%,95.00%,31.25%,35.00%,<5%,35.00%,36.36%,35.00%,94.12%,95.00%,>95%,95.00%,>95%,95.00%,6.25%,32.00%,<5%,32.00%,16.67%,32.00%,100.00%,100.00%,92.31%,81.23%,*,100.00%,No ,No ,No ,No ,53.85,84.0% or more,42.86%,86.0% or more,6.52%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2015,Harney County SD 4,35,100.00%,73.00% or more,0.00%,10.60% or less,0.00%,1.80% or less,61.54%,95.00%,58.82%,95.00%,*,95.00%,37.50%,35.00%,10.00%,35.00%,*,35.00%,69.23%,95.00%,58.82%,95.00%,*,95.00%,33.33%,32.00%,<5%,32.00%,*,32.00%,100.00%,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2023,Harney County Union High SD 1J,6,100.00%,73.00% or more,0.00%,10.60% or less,0.00%,1.80% or less,*,95.00%,*,95.00%,*,95.00%,*,35.00%,*,35.00%,*,35.00%,*,95.00%,*,95.00%,*,95.00%,*,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2114,Harper SD 66,13,100.00%,73.00% or more,0.00%,10.60% or less,0.00%,1.80% or less,*,95.00%,*,95.00%,*,95.00%,*,35.00%,*,35.00%,*,35.00%,*,95.00%,*,95.00%,*,95.00%,*,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2099,Harrisburg SD 7J,116,72.41%,73.00% or more,12.93%,10.60% or less,0.00%,1.80% or less,>95%,95.00%,91.30%,95.00%,93.33%,95.00%,21.88%,35.00%,<5%,35.00%,21.43%,35.00%,>95%,95.00%,91.30%,95.00%,93.33%,95.00%,15.63%,32.00%,<5%,32.00%,7.14%,32.00%,96.00%,100.00%,91.67%,81.23%,*,100.00%,No ,No ,No ,No ,83.33,84.0% or more,100.00%,86.0% or more,4.08%,3.1% or less,20.00%,31.00%,50.00%,55.50%,60.00%,72.00%
2201,Helix SD 1,21,100.00%,73.00% or more,0.00%,10.60% or less,0.00%,1.80% or less,*,95.00%,>95%,95.00%,*,95.00%,*,35.00%,<5%,35.00%,*,35.00%,*,95.00%,>95%,95.00%,*,95.00%,*,32.00%,<5%,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,0.00%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2206,Hermiston SD 8,667,68.97%,73.00% or more,12.29%,10.60% or less,0.15%,1.80% or less,>95%,95.00%,93.85%,95.00%,>95%,95.00%,19.42%,35.00%,14.29%,35.00%,26.42%,35.00%,>95%,95.00%,93.37%,95.00%,>95%,95.00%,23.08%,32.00%,13.11%,32.00%,5.88%,32.00%,97.48%,100.00%,89.47%,81.23%,*,100.00%,No ,No ,No ,No ,41.38,84.0% or more,50.00%,86.0% or more,2.87%,3.1% or less,0.00%,31.00%,0.00%,55.50%,47.06%,72.00%
2239,Hillsboro SD 1J,2911,76.16%,73.00% or more,7.63%,10.60% or less,1.31%,1.80% or less,91.97%,95.00%,93.70%,95.00%,91.94%,95.00%,26.54%,35.00%,21.54%,35.00%,23.71%,35.00%,92.73%,95.00%,93.07%,95.00%,90.52%,95.00%,21.78%,32.00%,14.76%,32.00%,5.24%,32.00%,98.18%,100.00%,81.10%,81.23%,16.67%,100.00%,Yes,No ,No ,No ,71.24,84.0% or more,71.71%,86.0% or more,2.66%,3.1% or less,24.53%,31.00%,35.85%,55.50%,68.87%,72.00%
2024,Hood River County SD,464,70.04%,73.00% or more,9.05%,10.60% or less,0.22%,1.80% or less,94.26%,95.00%,>95%,95.00%,85.71%,95.00%,21.05%,35.00%,13.91%,35.00%,17.24%,35.00%,94.26%,95.00%,94.96%,95.00%,80.00%,95.00%,22.61%,32.00%,13.27%,32.00%,7.14%,32.00%,98.33%,100.00%,91.07%,81.23%,*,100.00%,No ,No ,No ,No ,69.39,84.0% or more,64.10%,86.0% or more,6.06%,3.1% or less,22.73%,31.00%,40.91%,55.50%,68.18%,72.00%
1895,Huntington SD 16J,10,90.00%,73.00% or more,10.00%,10.60% or less,0.00%,1.80% or less,*,95.00%,*,95.00%,*,95.00%,*,35.00%,*,35.00%,*,35.00%,*,95.00%,*,95.00%,*,95.00%,*,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2215,Imbler SD 11,40,82.50%,73.00% or more,0.00%,10.60% or less,0.00%,1.80% or less,>95%,95.00%,>95%,95.00%,*,95.00%,11.11%,35.00%,18.18%,35.00%,*,35.00%,>95%,95.00%,>95%,95.00%,*,95.00%,33.33%,32.00%,9.09%,32.00%,*,32.00%,100.00%,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,85.71%,86.0% or more,0.00%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
3997,Ione SD R2,22,81.82%,73.00% or more,9.09%,10.60% or less,0.00%,1.80% or less,90.91%,95.00%,>95%,95.00%,*,95.00%,10.00%,35.00%,44.44%,35.00%,*,35.00%,90.91%,95.00%,>95%,95.00%,*,95.00%,10.00%,32.00%,44.44%,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,0.00%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2053,Jefferson County SD 509J,455,75.60%,73.00% or more,7.69%,10.60% or less,0.22%,1.80% or less,92.13%,95.00%,93.00%,95.00%,92.11%,95.00%,10.26%,35.00%,6.45%,35.00%,14.29%,35.00%,90.55%,95.00%,93.00%,95.00%,92.11%,95.00%,6.96%,32.00%,6.45%,32.00%,<5%,32.00%,100.00%,100.00%,82.14%,81.23%,*,100.00%,No ,No ,No ,No ,81.4,84.0% or more,60.00%,86.0% or more,4.35%,3.1% or less,21.43%,31.00%,45.24%,55.50%,80.95%,72.00%
2140,Jefferson SD 14J,132,84.09%,73.00% or more,6.06%,10.60% or less,0.00%,1.80% or less,>95%,95.00%,93.18%,95.00%,>95%,95.00%,17.95%,35.00%,31.71%,35.00%,16.67%,35.00%,>95%,95.00%,93.18%,95.00%,>95%,95.00%,5.00%,32.00%,19.51%,32.00%,8.33%,32.00%,100.00%,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,90.48,84.0% or more,100.00%,86.0% or more,0.00%,3.1% or less,33.33%,31.00%,33.33%,55.50%,77.78%,72.00%
1934,Jewell SD 8,30,93.33%,73.00% or more,0.00%,10.60% or less,0.00%,1.80% or less,83.33%,95.00%,*,95.00%,*,95.00%,20.00%,35.00%,*,35.00%,*,35.00%,83.33%,95.00%,*,95.00%,*,95.00%,20.00%,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,0.00%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2008,John Day SD 3,81,79.01%,73.00% or more,9.88%,10.60% or less,0.00%,1.80% or less,>95%,95.00%,>95%,95.00%,88.89%,95.00%,18.75%,35.00%,21.74%,35.00%,37.50%,35.00%,>95%,95.00%,>95%,95.00%,88.89%,95.00%,9.38%,32.00%,17.39%,32.00%,<5%,32.00%,100.00%,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,75,84.0% or more,*,86.0% or more,0.00%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2107,Jordan Valley SD 3,*,*,73.00% or more,*,10.60% or less,*,1.80% or less,*,95.00%,*,95.00%,*,95.00%,*,35.00%,*,35.00%,*,35.00%,*,95.00%,*,95.00%,*,95.00%,*,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2219,Joseph SD 6,24,100.00%,73.00% or more,0.00%,10.60% or less,0.00%,1.80% or less,91.67%,95.00%,>95%,95.00%,*,95.00%,27.27%,35.00%,28.57%,35.00%,*,35.00%,91.67%,95.00%,>95%,95.00%,*,95.00%,9.09%,32.00%,28.57%,32.00%,*,32.00%,100.00%,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2091,Junction City SD 69,239,59.83%,73.00% or more,9.62%,10.60% or less,0.84%,1.80% or less,84.62%,95.00%,93.42%,95.00%,75.00%,95.00%,18.18%,35.00%,11.27%,35.00%,16.67%,35.00%,86.15%,95.00%,92.11%,95.00%,70.83%,95.00%,23.21%,32.00%,5.71%,32.00%,5.88%,32.00%,100.00%,100.00%,88.24%,81.23%,*,100.00%,No ,No ,No ,No ,66.67,84.0% or more,76.00%,86.0% or more,3.75%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2109,Juntura SD 12,*,*,73.00% or more,*,10.60% or less,*,1.80% or less,*,95.00%,*,95.00%,*,95.00%,*,35.00%,*,35.00%,*,35.00%,*,95.00%,*,95.00%,*,95.00%,*,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2057,Klamath County SD,874,60.76%,73.00% or more,8.47%,10.60% or less,0.11%,1.80% or less,93.48%,95.00%,92.00%,95.00%,85.71%,95.00%,20.55%,35.00%,16.99%,35.00%,38.89%,35.00%,94.57%,95.00%,92.44%,95.00%,88.89%,95.00%,23.37%,32.00%,13.94%,32.00%,16.07%,32.00%,99.45%,100.00%,81.43%,81.23%,100.00%,100.00%,No ,No ,No ,No ,63.49,84.0% or more,59.04%,86.0% or more,5.98%,3.1% or less,19.05%,31.00%,42.86%,55.50%,57.14%,72.00%
2056,Klamath Falls City Schools,388,79.64%,73.00% or more,7.99%,10.60% or less,2.58%,1.80% or less,>95%,95.00%,>95%,95.00%,87.10%,95.00%,18.18%,35.00%,14.77%,35.00%,11.11%,35.00%,>95%,95.00%,>95%,95.00%,87.10%,95.00%,21.43%,32.00%,9.09%,32.00%,11.11%,32.00%,94.23%,100.00%,75.00%,81.23%,*,100.00%,No ,No ,No ,No ,40,84.0% or more,55.32%,86.0% or more,9.55%,3.1% or less,5.00%,31.00%,30.00%,55.50%,60.00%,72.00%
2262,Knappa SD 4,89,80.90%,73.00% or more,5.62%,10.60% or less,0.00%,1.80% or less,>95%,95.00%,>95%,95.00%,*,95.00%,13.79%,35.00%,21.05%,35.00%,*,35.00%,>95%,95.00%,>95%,95.00%,*,95.00%,6.90%,32.00%,15.79%,32.00%,*,32.00%,100.00%,100.00%,84.62%,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,71.43%,86.0% or more,3.85%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
2212,La Grande SD 1,350,67.14%,73.00% or more,8.00%,10.60% or less,0.00%,1.80% or less,93.94%,95.00%,89.90%,95.00%,>95%,95.00%,26.61%,35.00%,19.10%,35.00%,48.00%,35.00%,93.18%,95.00%,85.86%,95.00%,>95%,95.00%,26.02%,32.00%,12.94%,32.00%,<5%,32.00%,98.75%,100.00%,77.14%,81.23%,*,100.00%,Yes,No ,No ,No ,80.77,84.0% or more,68.18%,86.0% or more,0.95%,3.1% or less,17.65%,31.00%,41.18%,55.50%,82.35%,72.00%
2059,Lake County SD 7,90,65.56%,73.00% or more,4.44%,10.60% or less,1.11%,1.80% or less,>95%,95.00%,>95%,95.00%,*,95.00%,33.33%,35.00%,24.14%,35.00%,*,35.00%,>95%,95.00%,>95%,95.00%,*,95.00%,26.67%,32.00%,7.14%,32.00%,*,32.00%,84.21%,100.00%,87.50%,81.23%,*,100.00%,No ,No ,No ,No ,100,84.0% or more,63.64%,86.0% or more,2.94%,3.1% or less,*,31.00%,*,55.50%,*,72.00%
1923,Lake Oswego SD 7J,663,76.62%,73.00% or more,0.45%,10.60% or less,2.71%,1.80% or less,89.69%,95.00%,94.89%,95.00%,91.84%,95.00%,57.47%,35.00%,46.11%,35.00%,68.89%,35.00%,90.21%,95.00%,94.32%,95.00%,87.76%,95.00%,49.14%,32.00%,38.55%,32.00%,25.58%,32.00%,98.44%,100.00%,82.00%,81.23%,*,100.00%,No ,No ,No ,No ,78.46,84.0% or more,79.31%,86.0% or more,2.00%,3.1% or less,47.17%,31.00%,71.70%,55.50%,86.79%,72.00%
2101,Lebanon Community SD 9,661,79.27%,73.00% or more,7.56%,10.60% or less,0.00%,1.80% or less,91.80%,95.00%,91.38%,95.00%,94.23%,95.00%,17.86%,35.00%,15.09%,35.00%,18.37%,35.00%,92.90%,95.00%,90.80%,95.00%,94.23%,95.00%,14.71%,32.00%,12.03%,32.00%,<5%,32.00%,100.00%,100.00%,78.57%,81.23%,*,100.00%,Yes,No ,No ,No ,55.56,84.0% or more,50.94%,86.0% or more,9.50%,3.1% or less,17.14%,31.00%,57.14%,55.50%,74.29%,72.00%
2097,Lincoln County SD,779,65.73%,73.00% or more,15.92%,10.60% or less,0.64%,1.80% or less,70.81%,95.00%,84.11%,95.00%,60.00%,95.00%,20.95%,35.00%,10.00%,35.00%,23.33%,35.00%,70.81%,95.00%,83.64%,95.00%,60.78%,95.00%,14.86%,32.00%,6.15%,32.00%,12.90%,32.00%,96.06%,100.00%,62.22%,81.23%,77.78%,100.00%,No ,No ,No ,No ,71.93,84.0% or more,58.33%,86.0% or more,1.75%,3.1% or less,14.58%,31.00%,47.92%,55.50%,89.58%,72.00%
2012,Long Creek SD 17,*,*,73.00% or more,*,10.60% or less,*,1.80% or less,*,95.00%,*,95.00%,*,95.00%,*,35.00%,*,35.00%,*,35.00%,*,95.00%,*,95.00%,*,95.00%,*,32.00%,*,32.00%,*,32.00%,*,100.00%,*,81.23%,*,100.00%,No ,No ,No ,No ,*,84.0% or more,*,86.0% or more,*,3.1% or less,*,31.00%,*,55.50%,*,72.00%
